PERSON_ID,PERSON_TYPE,CRASH_RECORD_ID,RD_NO_x,VEHICLE_ID,CRASH_DATE_x,CITY,STATE,ZIPCODE,SEX,AGE,SAFETY_EQUIPMENT,AIRBAG_DEPLOYED,EJECTION,INJURY_CLASSIFICATION,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,BAC_RESULT,CRASH_YEAR_x,RD_NO_y,CRASH_DATE_y,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,CRASH_YEAR_y,TIME
O1069449,DRIVER,d3d6ef2a60e529f9e283049cf458f3b79e488bd1bad854d96f85f3878629ade5bc7386c49ce4d25d4fccc57b11a7b5730fa1394aa485fde54457b1d8f92421a9,JE187393,1014181.0,04/02/2021 04:14:00 PM,CHICAGO,IL,60622,M,44.0,SAFETY BELT USED,"DEPLOYED, COMBINATION",NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE187393,04/02/2021 04:14:00 PM,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,Y,"OVER $1,500",04/02/2021 04:14:00 PM,DISREGARDING STOP SIGN,NOT APPLICABLE,3933,W,AUGUSTA BLVD,1112.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16,6,4,41.898925063,-87.72490993299999,POINT (-87.72490993269 41.898925063282),2021,974
O1161216,DRIVER,1593671e4668a7cb83d130006dcf78b5119b877c0d79ab207c619c420b0a8eeba94806fd6016e5ff6e4904ce9dde601c29718ff111b95097868016a39851b62d,JE336440,1101533.0,08/13/2021 07:00:00 PM,CHICAGO,IL,60629,F,31.0,SAFETY BELT USED,DID NOT DEPLOY,NONE,NONINCAPACITATING INJURY,EMERGENCY VEHICLE ON CALL,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE336440,08/13/2021 07:00:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,Y,"OVER $1,500",08/13/2021 07:00:00 PM,FAILING TO YIELD RIGHT-OF-WAY,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",6300,S,KEDZIE AVE,823.0,2,NONINCAPACITATING INJURY,3.0,0.0,0.0,2.0,1.0,0.0,0.0,19,6,8,41.77894575,-87.70328311899999,POINT (-87.703283119003 41.77894575018),2021,1140
O1106756,DRIVER,7d5c1962b390056b6d4c061db5f302d144630023d62aab5fb3c743cb40ea41cb77a5d483159563f7e21895932f1eae379d15785b530c1eeeeb5105482f2d80e1,JE248503,1049875.0,05/31/2021 02:15:00 AM,CHICAGO,IL,60651,M,30.0,USAGE UNKNOWN,"DEPLOYED, SIDE",NONE,NONINCAPACITATING INJURY,DISREGARDED CONTROL DEVICES,UNKNOWN,IMPAIRED - ALCOHOL,"TEST PERFORMED, RESULTS UNKNOWN",2021,JE248503,05/31/2021 02:15:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,N,"OVER $1,500",05/31/2021 02:16:00 AM,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),DISREGARDING TRAFFIC SIGNALS,759,N,CICERO AVE,1111.0,3,NONINCAPACITATING INJURY,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2,2,5,41.894959094,-87.74565889899999,POINT (-87.74565889869 41.894959093611),2021,135
O1058647,DRIVER,590822b0b71b535801be22ef78d2487e486690d473cf8d1ce163b1f3ea344eb79c3144ad63b3db367c58e15ca66e03c32f60fd9892734a487b0d6ac2c1d89f4b,JE168944,1003887.0,03/14/2021 04:48:00 PM,CHICAGO,IL,60651,F,38.0,USAGE UNKNOWN,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,UNKNOWN,NORMAL,TEST NOT OFFERED,2021,JE168944,03/14/2021 04:48:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,Y,"OVER $1,500",03/14/2021 04:48:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,5100,W,CHICAGO AVE,1531.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,1,3,41.89506772,-87.75320910299999,POINT (-87.753209103366 41.895067719769),2021,1008
O1156616,DRIVER,6b32658f25395186be194400e6f8daad8bbdcd41dbdbfc7b517394f65c187fc45f89fcc87093fbb6ddec0d4d7e9a1929748521b8e5e36f3d0492cdcb8e46e89c,JE329004,1097129.0,08/07/2021 02:23:00 AM,EVANSTON,IL,30202,F,35.0,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE329004,08/07/2021 02:23:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,Y,"OVER $1,500",08/07/2021 02:23:00 AM,DISREGARDING TRAFFIC SIGNALS,FAILING TO REDUCE SPEED TO AVOID CRASH,1200,S,LAKE SHORE DR E,132.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,7,8,41.867446111999996,-87.618904488,POINT (-87.618904488078 41.867446111851),2021,143
O1196828,DRIVER,a72f84ef1f6490387ddd49354d4c68c54ab56647362abd9bb4ed08155a0c7539bb90332e02cd8a29d2afb443e85a6e578e5e57de7a3d3dfbcd1327455a606d50,JE395309,1136131.0,10/01/2021 08:15:00 PM,CHICAGO,IL,60608,F,42.0,SAFETY BELT USED,NOT APPLICABLE,NONE,NONINCAPACITATING INJURY,NONE,UNKNOWN,NORMAL,TEST NOT OFFERED,2021,JE395309,10/01/2021 08:15:00 PM,25,STOP SIGN/FLASHER,OTHER,CLEAR,DAYLIGHT,REAR TO FRONT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,Y,"OVER $1,500",10/02/2021 12:45:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,604,N,SACRAMENTO BLVD,1221.0,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,20,6,10,41.892143493,-87.702154478,POINT (-87.702154477905 41.892143492767),2021,1215
O1216464,DRIVER,92f8cb4aa8c54aaaac6c71810814dd15b546fd7e32dcd0689efdc4671dd25b4dcc83923c2a43061bf6ef831216d0757f08ffd60a69b0149ee8e4265091f0a725,JE427429,1154308.0,10/30/2021 02:13:00 AM,CHICAGO,IL,60615,M,43.0,NONE PRESENT,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE427429,10/30/2021 02:13:00 AM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,Y,"OVER $1,500",10/30/2021 02:14:00 AM,WEATHER,NOT APPLICABLE,4700,S,WENTWORTH AVE,224.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,7,10,41.809082437,-87.63103087399999,POINT (-87.63103087365 41.809082436649),2021,133
O1233900,DRIVER,f76327fc1af8c454e9eaaf9142c47e94fed73cf76ea71cf54de541a2dddb561d372fe090475ed85b52cddfc1c41c02fb133cf62e7975c70c3e238d30bd76a54b,JE456244,1171040.0,11/24/2021 09:17:00 PM,CHICAGO,IL,60620,F,57.0,USAGE UNKNOWN,"DEPLOYED, FRONT",NONE,NONINCAPACITATING INJURY,NONE,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE456244,11/24/2021 09:17:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,Y,"OVER $1,500",11/24/2021 09:17:00 PM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,1200,W,MARQUETTE RD,724.0,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,21,4,11,41.772441793,-87.654373236,POINT (-87.654373236431 41.772441793368),2021,1277
O1173653,DRIVER,3e63124a4b0edf1250cf8764bdc9a0ad4ada126f10739204423d48c284acbb02e6ebf3004e0dd377cc330f7c456165258784cfeeee4ff3d72875c9a564933dea,JE356677,1113367.0,08/31/2021 07:00:00 AM,CHICAGO,IL,60641,F,25.0,SAFETY BELT USED,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,NONE,UNKNOWN,NORMAL,TEST NOT OFFERED,2021,JE356677,08/31/2021 07:00:00 AM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,Y,"OVER $1,500",08/31/2021 02:15:00 PM,DRIVING ON WRONG SIDE/WRONG WAY,FAILING TO YIELD RIGHT-OF-WAY,2900,N,LARAMIE AVE,2514.0,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7,3,8,41.933268846,-87.75663613,POINT (-87.756636130243 41.933268846391),2021,420
O1070282,DRIVER,4d9c9eaacb7df587e7b3506458c776c82237994d99a8acdd5cf5cd1c16d48fe71ae6c88b6a7d5a67494ffac4ca596cbcb2851cb9ef1dd7aaf5d3b8a2853479cb,JE188751,1014972.0,04/03/2021 10:20:00 PM,CHICAGO,IL,60630,F,70.0,SAFETY BELT USED,NOT APPLICABLE,NONE,"REPORTED, NOT EVIDENT",NONE,NOT OBSCURED,NORMAL,TEST NOT OFFERED,2021,JE188751,04/03/2021 10:20:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,N,"$501 - $1,500",04/03/2021 11:25:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,1,S,PULASKI RD,1122.0,2,"REPORTED, NOT EVIDENT",2.0,0.0,0.0,0.0,2.0,1.0,0.0,22,7,4,41.880680439,-87.7255224,POINT (-87.725522400262 41.880680439079),2021,1340
